Bundesland,RKI_NameDE,gemeindeschluessel,type,geometry
Niedersachsen,Region Hannover,03241,Feature,[object Object]
Niedersachsen,LK Heidekreis,03358,Feature,[object Object]
Niedersachsen,LK Celle,03351,Feature,[object Object]Bundesland,RKI_NameDE,gemeindeschluessel,type,geometry
Nordrhein-Westfalen,SK Leverkusen,05316,Feature,[object Object]
Nordrhein-Westfalen,LK Olpe,05966,Feature,[object Object]
Nordrhein-Westfalen,LK Minden-Lübbecke,05770,Feature,[object Object]
Nordrhein-Westfalen,SK Krefeld,05114,Feature,[object Object]
Nordrhein-Westfalen,LK Hochsauerlandkreis,05958,Feature,[object Object]
Nordrhein-Westfalen,SK Wuppertal,05124,Feature,[object Object]
Nordrhein-Westfalen,LK Kleve,05154,Feature,[object Object]
Nordrhein-Westfalen,SK Mülheim a.d.Ruhr,05117,Feature,[object Object]
Nordrhein-Westfalen,LK Oberbergischer Kreis,05374,Feature,[object Object]
Nordrhein-Westfalen,LK Siegen-Wittgenstein,05970,Feature,[object Object]
Nordrhein-Westfalen,LK Steinfurt,05566,Feature,[object Object]
Nordrhein-Westfalen,LK Rheinisch-Bergischer Kreis,05378,Feature,[object Object]
Nordrhein-Westfalen,SK Duisburg,05112,Feature,[object Object]
Nordrhein-Westfalen,SK Hamm,05915,Feature,[object Object]
Nordrhein-Westfalen,SK Dortmund,05913,Feature,[object Object]
Nordrhein-Westfalen,SK Essen,05113,Feature,[object Object]
Nordrhein-Westfalen,LK Lippe,05766,Feature,[object Object]
Nordrhein-Westfalen,LK Coesfeld,05558,Feature,[object Object]
Nordrhein-Westfalen,LK Düren,05358,Feature,[object Object]
Nordrhein-Westfalen,SK Bottrop,05512,Feature,[object Object]
Nordrhein-Westfalen,SK Bielefeld,05711,Feature,[object Object]
Nordrhein-Westfalen,LK Höxter,05762,Feature,[object Object]
Nordrhein-Westfalen,LK Soest,05974,Feature,[object Object]
Nordrhein-Westfalen,SK Oberhausen,05119,Feature,[object Object]
Nordrhein-Westfalen,SK Mönchengladbach,05116,Feature,[object Object]
Nordrhein-Westfalen,LK Viersen,05166,Feature,[object Object]
Nordrhein-Westfalen,LK Heinsberg,05370,Feature,[object Object]
Nordrhein-Westfalen,LK Borken,05554,Feature,[object Object]
Nordrhein-Westfalen,LK Recklinghausen,05562,Feature,[object Object]
Nordrhein-Westfalen,SK Hagen,05914,Feature,[object Object]
Nordrhein-Westfalen,LK Ennepe-Ruhr-Kreis,05954,Feature,[object Object]
Nordrhein-Westfalen,LK Euskirchen,05366,Feature,[object Object]
Nordrhein-Westfalen,SK Bochum,05911,Feature,[object Object]
Nordrhein-Westfalen,LK Herford,05758,Feature,[object Object]
Nordrhein-Westfalen,LK Paderborn,05774,Feature,[object Object]
Nordrhein-Westfalen,LK Wesel,05170,Feature,[object Object]
Nordrhein-Westfalen,LK Gütersloh,05754,Feature,[object Object]
Nordrhein-Westfalen,SK Solingen,05122,Feature,[object Object]
Nordrhein-Westfalen,StädteRegion Aachen,05334,Feature,[object Object]
Nordrhein-Westfalen,LK Märkischer Kreis,05962,Feature,[object Object]
Nordrhein-Westfalen,SK Düsseldorf,05111,Feature,[object Object]
Nordrhein-Westfalen,LK Mettmann,05158,Feature,[object Object]
Nordrhein-Westfalen,SK Gelsenkirchen,05513,Feature,[object Object]
Nordrhein-Westfalen,SK Herne,05916,Feature,[object Object]
Nordrhein-Westfalen,LK Rhein-Erft-Kreis,05362,Feature,[object Object]
Nordrhein-Westfalen,LK Unna,05978,Feature,[object Object]
Nordrhein-Westfalen,SK Münster,05515,Feature,[object Object]
Nordrhein-Westfalen,LK Warendorf,05570,Feature,[object Object]
Nordrhein-Westfalen,SK Bonn,05314,Feature,[object Object]
Nordrhein-Westfalen,LK Rhein-Sieg-Kreis,05382,Feature,[object Object]
