"County_Name","Inhabitants"
"Cotton, Oklahoma, US",5666
"Cottonwood, Minnesota, US",11196
"Covington City, Virginia, US",5538
"Covington, Alabama, US",37049
"Covington, Mississippi, US",18636
"Coweta, Georgia, US",148509
"Cowley, Kansas, US",34908
"Cowlitz, Washington, US",110593
"Craig, Oklahoma, US",14142
"Craig, Virginia, US",5131
"Craighead, Arkansas, US",110332
"Crane, Texas, US",4797
"Craven, North Carolina, US",102139
"Crawford, Arkansas, US",63257
"Crawford, Georgia, US",12404
"Crawford, Illinois, US",18667
"Crawford, Indiana, US",10577
"Crawford, Iowa, US",16820
"Crawford, Kansas, US",38818
"Crawford, Michigan, US",14029
"Crawford, Missouri, US",23920
"Crawford, Ohio, US",41494
"Crawford, Pennsylvania, US",84629
"Crawford, Wisconsin, US",16131
"Creek, Oklahoma, US",71522
"Crenshaw, Alabama, US",13772
"Crisp, Georgia, US",22372
"Crittenden, Arkansas, US",47955
"Crittenden, Kentucky, US",8806
"Crockett, Tennessee, US",14230
"Crockett, Texas, US",3464
"Crook, Oregon, US",24404
"Crook, Wyoming, US",7584
"Crosby, Texas, US",5737
"Cross, Arkansas, US",16419
"Crow Wing, Minnesota, US",65055
"Crowley, Colorado, US",6061
"Culberson, Texas, US",2171
"Cullman, Alabama, US",83768
"Culpeper, Virginia, US",52605
"Cumberland, Illinois, US",10766
"Cumberland, Kentucky, US",6614
"Cumberland, Maine, US",295003
"Cumberland, New Jersey, US",149527
"Cumberland, North Carolina, US",335509
"Cumberland, Pennsylvania, US",253370
"Cumberland, Tennessee, US",60520
"Cumberland, Virginia, US",9932
"Cuming, Nebraska, US",8846
"Currituck, North Carolina, US",27763
"Curry, New Mexico, US",48954
"Curry, Oregon, US",22925
"Custer, Colorado, US",5068
"Custer, Idaho, US",4315
"Custer, Montana, US",11402
"Custer, Nebraska, US",10777
"Custer, Oklahoma, US",29003
"Custer, South Dakota, US",8972
"Cuyahoga, Ohio, US",1235072
"Dade, Georgia, US",16116
"Dade, Missouri, US",7561
"Daggett, Utah, US",950
"Dakota, Minnesota, US",429021
"Dakota, Nebraska, US",20026
"Dale, Alabama, US",49172
"Dallam, Texas, US",7287
"Dallas, Alabama, US",37196
"Dallas, Arkansas, US",7009
"Dallas, Iowa, US",93453
"Dallas, Missouri, US",16878
"Dallas, Texas, US",2635516
"Dane, Wisconsin, US",546695
"Daniels, Montana, US",1690
"Danville, Virginia, US",40044
"Dare, North Carolina, US",37009
"Darke, Ohio, US",51113
"Darlington, South Carolina, US",66618
"Dauphin, Pennsylvania, US",278299
"Davidson, North Carolina, US",167609
"Davidson, Tennessee, US",694144
"Davie, North Carolina, US",42846
"Daviess, Indiana, US",33351
"Daviess, Kentucky, US",101511
"Daviess, Missouri, US",8278
"Davis, Iowa, US",9000
"Davis, Utah, US",355481
"Davison, South Dakota, US",19775
"Dawes, Nebraska, US",8589
"Dawson, Georgia, US",26108
"Dawson, Montana, US",8613
"Dawson, Nebraska, US",23595
"Dawson, Texas, US",12728
"Day, South Dakota, US",5424
"De Baca, New Mexico, US",1748
"De Soto, Louisiana, US",27463
"De Witt, Illinois, US",15638
"Deaf Smith, Texas, US",18546
"Dearborn, Indiana, US",49458
"Decatur, Georgia, US",26404
"Decatur, Indiana, US",26559
"Decatur, Iowa, US",7870
"Decatur, Kansas, US",2827
"Decatur, Tennessee, US",11663
"Deer Lodge, Montana, US",9140
"Defiance, Ohio, US",38087
"DeKalb, Alabama, US",71513
"DeKalb, Georgia, US",759297
"DeKalb, Illinois, US",104897
"DeKalb, Indiana, US",43475
"DeKalb, Missouri, US",12547
"DeKalb,Tennessee,US",20490
"Del Norte, California, US",27812
"Delaware, Indiana, US",114135
"Delaware, Iowa, US",17011
"Delaware, New York, US",44135
"Delaware, Ohio, US",209177
"Delaware, Oklahoma, US",43009
"Delaware, Pennsylvania, US",566747
"Delta, Colorado, US",31162
"Delta, Michigan, US",35784
"Delta, Texas, US",5331
"Denali Borough, Alaska, US",2097
"Dent, Missouri, US",15573
"Denton, Texas, US",887207
"Denver, Colorado, US",727211
"Des Moines, Iowa, US",38967
"Deschutes, Oregon, US",197692
"Desha, Arkansas, US",11361
"DeSoto,Florida, US",38001
"DeSoto, Mississippi, US",184945
"Deuel, Nebraska, US",1794
"Deuel, South Dakota, US",4351
"Dewey, Oklahoma, US",4891
"Dewey, South Dakota, US",5892
"DeWitt, Texas, US",20160
"Dickens, Texas, US",2211
"Dickenson, Virginia, US",14318
"Dickey, North Dakota, US",4872
"Dickinson, Iowa, US",17258
"Dickinson, Kansas, US",18466
"Dickinson, Michigan, US",25239
"Dickson, Tennessee, US",53948
"Dillingham Census Area, Alaska, US",4916
"Dillon, South Carolina, US",30479
"Dimmit, Texas, US",10124
"Dinwiddie, Virginia, US",28544
"District of Columbia,District of Columbia,US",705749
"Divide, North Dakota, US",2264
"Dixie, Florida, US",16826
"Dixon, Nebraska, US",5636
"Doddridge, West Virginia, US",8448
"Dodge, Georgia, US",20605
"Dodge, Minnesota, US",20934
"Dodge, Nebraska, US",36565
"Dodge, Wisconsin, US",87839
"Dolores, Colorado, US",2055
"Doña Ana, New Mexico, US",218195
"Doniphan, Kansas, US",7600
"Donley, Texas, US",3278
"Dooly, Georgia, US",13390
"Door, Wisconsin, US",27668
"Dorchester, Maryland, US",31929
"Dorchester, South Carolina, US",162809
"Dougherty, Georgia, US",87956
"Douglas, Colorado, US",351154
"Douglas, Georgia, US",146343
"Douglas, Illinois, US",19465
"Douglas, Kansas, US",122259
"Douglas, Minnesota, US",38141
"Douglas, Missouri, US",13185
"Douglas, Nebraska, US",571327
"Douglas, Nevada, US",48905
"Douglas, Oregon, US",110980
"Douglas, South Dakota, US",2921
"Douglas, Washington, US",43429
"Douglas, Wisconsin, US",43150
"Drew, Arkansas, US",18219
"Dubois, Indiana, US",42736
"Dubuque, Iowa, US",97311
"Duchesne, Utah, US",19938
"Dukes, Massachusetts, US",17332
"Dundy, Nebraska, US",1693
"Dunklin, Missouri, US",29131
"Dunn, North Dakota, US",4424
"Dunn, Wisconsin, US",45368
"DuPage, Illinois, US",922921
"Duplin, North Carolina, US",58741
"Durham, North Carolina, US",321488
"Dutchess, New York, US",294218
"Duval, Florida, US",957755
"Duval, Texas, US",11157
"Dyer, Tennessee, US",37159
"Eagle, Colorado, US",55127
"Early, Georgia, US",10190
"East Baton Rouge, Louisiana, US",440059
"East Carroll, Louisiana, US",6861
"East Feliciana, Louisiana, US",19135
"Eastland, Texas, US",18360
"Eaton, Michigan, US",110268
"Eau Claire, Wisconsin, US",104646
"Echols, Georgia, US",4006
"Ector, Texas, US",166223
"Eddy, New Mexico, US",58460
"Eddy, North Dakota, US",2287
"Edgar, Illinois, US",17161
"Edgecombe, North Carolina, US",51472
"Edgefield, South Carolina, US",27260
